Name,Alpha,ELISA,FB,FP,FRET,SPA,OverallActivityEnrichment,QCEnrichment,Alpha_HS,ELISA_HS,FB_HS,FP_HS,FRET_HS,SPA_HS,HSEnrichment,TotalScore
amino_acridine_A,140,0,0,0,0,0,20,20,0,10,10,10,10,10,10,50
anil_alk_ene,280,20,0,0,20,20,20,20,100,0,0,0,10,10,10,50
anil_di_alk_A,110,20,0,20,20,20,0,20,0,0,10,0,0,0,0,0
anil_di_alk_B,90,20,0,0,0,0,0,0,50,0,0,0,0,10,10,0
anil_di_alk_C,120,20,0,0,0,0,20,0,50,0,0,10,10,10,0,0
anil_di_alk_D,120,20,0,0,0,0,0,0,50,0,0,0,0,0,0,50
anil_di_alk_E,110,20,0,0,0,0,0,0,0,0,0,10,10,10,10,50
anil_no_alk,90,20,0,0,0,0,0,0,0,0,0,0,10,0,10,50
anthranil_acid_A,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
anthranil_one_A,140,20,0,0,0,0,0,0,50,0,0,10,0,10,0,50
azo_A,260,20,20,0,20,0,20,20,100,0,10,0,10,10,0,50
catechol_A,110,20,0,0,0,0,20,0,50,0,0,0,0,0,0,0
cyano_ene_amine_A,130,0,0,0,0,0,20,0,0,0,0,0,0,0,10,100
cyano_imine_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyano_imine_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyano_pyridone_A,210,20,0,0,0,0,20,0,100,10,0,0,0,10,0,50
cyano_pyridone_B,40,0,0,0,0,20,0,0,0,10,0,0,0,0,10,0
dhp_bis_amino_CN,140,20,0,0,20,0,0,0,100,0,0,0,0,0,0,0
diazox_sulfon_A,60,0,0,0,0,0,0,0,0,0,0,0,10,0,0,50
dyes3A,150,0,0,0,0,0,20,20,0,0,0,0,0,0,10,100
ene_cyano_A,120,20,20,0,0,0,20,0,0,10,0,0,0,0,0,50
ene_five_het_A,60,20,0,0,0,20,0,0,0,0,0,0,10,0,10,0
ene_five_het_B,190,20,20,0,0,20,0,0,100,0,0,0,0,0,10,0
ene_five_het_C,120,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0
ene_five_het_E,270,0,20,0,0,0,20,0,100,10,10,0,0,0,10,100
ene_five_het_F,100,20,0,0,0,0,0,0,0,0,0,10,0,10,10,50
ene_five_one_A,220,0,0,0,0,0,0,0,100,0,0,0,0,10,10,100
ene_one_ene_A,120,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0
ene_one_ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ene_one_hal,220,20,20,0,0,0,0,0,100,0,0,0,10,10,10,50
ene_rhod_A,260,20,0,0,20,0,20,20,100,0,0,10,10,0,10,50
ene_six_het_A,70,0,0,0,0,0,0,0,0,0,0,0,10,10,0,50
het_65_A,110,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100
het_6_tetrazine,90,20,0,0,0,0,0,0,0,0,0,10,0,0,10,50
het_pyridiniums_A,250,0,0,0,0,0,20,20,100,10,10,10,10,10,10,50
hzone_acyl_naphthol,100,20,0,0,0,0,20,0,0,0,0,0,0,0,10,50
hzone_anil_di_alk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzone_enamin,30,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0
hzone_phenol_A,100,0,20,0,0,0,0,0,50,0,10,0,10,0,10,0
hzone_phenol_B,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzone_pipzn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imidazole_A,100,20,20,20,0,0,0,20,0,0,0,0,10,0,10,0
imine_one_A,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imine_one_fives,60,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
imine_one_isatin,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
indol_3yl_alk,80,0,0,0,0,0,0,0,0,0,0,0,10,10,10,50
keto_keto_beta_A,180,0,0,0,0,0,0,0,100,0,0,0,10,10,10,50
mannich_A,130,0,0,0,0,0,0,0,50,0,0,10,10,10,0,50
naphth_amino_A,150,20,20,0,20,0,0,0,0,10,10,0,0,10,10,50
naphth_amino_B,60,20,0,0,20,0,0,20,0,0,0,0,0,0,0,0
pyrrole_A,170,20,0,0,0,0,0,0,100,0,0,0,10,10,10,50
pyrrole_B,200,20,0,0,0,0,0,0,100,0,10,10,0,10,0,50
quinone_A,250,20,0,0,20,0,20,20,100,0,0,0,10,0,10,50
rhod_sat_A,230,20,20,0,0,0,0,0,100,10,0,0,10,10,10,50
sulfonamide_A,80,0,0,0,20,20,0,20,0,10,0,0,10,0,0,0
sulfonamide_B,100,20,0,0,0,0,0,0,0,0,0,0,10,10,10,50
thiaz_ene_A,60,0,0,0,0,0,0,0,50,0,0,0,10,0,0,0
thiaz_ene_B,120,0,0,0,0,0,0,0,0,10,0,0,10,0,0,100
thio_carbonate_A,40,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0
thio_dibenzo,220,20,20,0,0,0,0,0,100,0,0,0,10,10,10,50
thiophene_amino_Aa,200,20,0,0,20,0,20,0,50,0,0,10,10,10,10,50
thiophene_amino_Ab,80,0,0,0,0,0,0,0,0,10,0,0,0,10,10,50
thiophene_hydroxy,110,0,0,0,0,0,0,0,0,0,0,0,0,10,0,100
