Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,# rotatable bonds (<10),# rotatable bonds (<10) (raw),# stereo centers (<2),# stereo centers (<2) (raw),Molecular weight (350-600),Molecular weight (350-600) (raw),logP (<=5),logP (<=5) (raw),TPSA (<=150),TPSA (<=150) (raw),# aromatic rings (<5),# aromatic rings (<5) (raw),# Cl (<=1),# Cl (<=1) (raw),# F (<4),# F (<4) (raw),# HB-donors (<5),# HB-donors (<5) (raw),# HB-acceptors (<10),# HB-acceptors (<10) (raw),ADG PLA2X,ADG PLA2X (raw),ADG hERG,ADG hERG (raw),Minimal Alerts,Minimal Alerts (raw),matchting_patterns (Minimal Alerts),step
3.2684,3.2684,35.6483,0.3040366,NC(=O)c1cc2ccc(N)cc2n1C(N)=O,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*N,0.9984624,1.0000,0.9467598,0.0000,0.0005351,218.2160,0.9369627,0.2492,0.9701793,117.1300,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.9868402,4.0000,0.2995055,-8.7700,0.1331109,-6.1700,1.0000000,1.0000,[],1
16.4567,16.4567,24.0417,0.3163939,COC(=O)c1cncc(CCc2ccc3cc(C(N)=O)n(C(=O)OC(C)(C)C)c3c2)n1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*CCc1cncc(C(=O)OC)n1,0.9733457,5.0000,0.9467598,0.0000,0.9999895,424.4570,0.6904370,2.8852,0.9410761,126.4000,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.8083177,8.0000,0.4145013,-9.5000,0.0279536,-8.1100,1.0000000,1.0000,[],1
26.2123,26.2123,-0.8921,0.1978144,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(C3CCC(N4CCC[C@@H]4CN4CCC(O)CC4)CC3)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C1CCC(N2CCC[C@@H]2CN2CCC(O)CC2)CC1,0.9733457,5.0000,0.5000000,1.0000,0.9999903,524.7060,0.4161263,4.4707,0.9911460,101.0300,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.8964765,7.0000,0.9279668,-13.7000,0.0023254,-11.0200,1.0000000,1.0000,[],1
21.3290,21.3290,7.2272,0.2230952,CN1CCN(c2cnc(-c3ccc4nc(Nc5ccc6cc(C(N)=O)n(C(N)=O)c6c5)[nH]c4c3)nc2)CC1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Nc1nc2ccc(-c3ncc(N4CCN(C)CC4)cn3)cc2[nH]1,0.9733457,5.0000,0.9467598,0.0000,0.9999974,510.5620,0.7469537,2.4957,0.4697197,164.0800,0.0532402,5.0000,0.9999900,0.0000,1.0000000,0.0000,0.9467598,4.0000,0.6725097,9.0000,0.4844625,-9.9100,0.0126107,-9.0500,1.0000000,1.0000,[],1
16.5916,16.5916,15.3739,0.2497307,COc1ccc(CN(CC=C(C)C)c2ccc3cc(C(N)=O)n(C(=O)OC(C)(C)C)c3c2)cc1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*N(CC=C(C)C)Cc1ccc(OC)cc1,0.8964765,7.0000,0.9467598,0.0000,0.9999997,463.5780,0.2529783,5.5048,0.9970144,86.7900,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.9467598,6.0000,0.8634648,-12.6700,0.0061987,-9.8800,1.0000000,1.0000,[],1
4.1555,4.1555,39.7919,0.3433396,Cc1ccc2cc(C(N)=O)n(C(=O)OC(C)(C)C)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C,0.9984624,1.0000,0.9467598,0.0000,0.0858640,274.3200,0.6985859,2.8318,0.9988514,74.3200,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.9868402,4.0000,0.2686222,-8.5500,0.0921055,-6.6500,1.0000000,1.0000,[],1
4.1555,4.1555,-4.1555,0.0000000,Cc1ccc2cc(C(N)=O)n(C(=O)OC(C)(C)C)c2c1,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C,0.0000000,1.0000,0.0000000,0.0000,0.0000000,274.3200,0.0000000,2.8318,0.0000000,74.3200,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,1.0000,0.0000000,4.0000,0.0000000,-8.5500,0.0000000,-6.6500,0.0000000,1.0000,[],1
3.6779,3.6779,38.1467,0.3267548,Cc1ccc2cc(C(N)=O)n(C(N)=O)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*C,0.9984624,1.0000,0.9467598,0.0000,0.0004885,217.2280,0.8981065,0.9754,0.9958454,91.1100,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9935481,3.0000,0.3895977,-9.3500,0.1392036,-6.1100,1.0000000,1.0000,[],1
14.0842,14.0842,31.0812,0.3528548,CC(=O)N1CC[C@@H](c2ccc3cc(C(N)=O)n(C(N)=O)c3c2)C1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*[C@@H]1CCN(C(C)=O)C1,0.9968477,2.0000,0.5000000,1.0000,0.7893852,314.3450,0.8962893,1.0028,0.9805551,111.4200,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9868402,4.0000,0.7354296,-11.4800,0.0261365,-8.1900,1.0000000,1.0000,[],1
14.8560,14.8560,25.0343,0.3116427,NC(=O)c1cc2ccc(Nc3ccc(N(CCCl)CCCl)cc3)cc2n1C(N)=O,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Nc1ccc(N(CCCl)CCCl)cc1,0.8083177,8.0000,0.9467598,0.0000,0.9999958,434.3270,0.5547182,3.6946,0.9867101,106.3800,0.9998222,3.0000,0.5000000,2.0000,1.0000000,0.0000,0.9968477,3.0000,0.9733457,5.0000,0.7259147,-11.4100,0.0178718,-8.6400,1.0000000,1.0000,[],1
8.6991,8.6991,32.3232,0.3204866,NC(=O)c1cc2ccc(Cc3ccc(F)cc3)cc2n1C(N)=O,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Cc1ccc(F)cc1,0.9935481,3.0000,0.9467598,0.0000,0.7392825,311.3160,0.7601539,2.3969,0.9958454,91.1100,0.9998222,3.0000,0.9999900,0.0000,1.0000000,1.0000,0.9998222,2.0000,0.9935481,3.0000,0.4296650,-9.5900,0.0279536,-8.1100,1.0000000,1.0000,[],1
11.9208,11.9208,34.0204,0.3589155,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(NCc3cncs3)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*NCc1cncs1,0.9868402,4.0000,0.9467598,0.0000,0.9987369,372.4500,0.5728723,3.5920,0.9922738,99.2400,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.8964765,7.0000,0.6946656,-11.1900,0.0277199,-8.1200,1.0000000,1.0000,[],1
5.8337,5.8337,38.6477,0.3475108,CCc1ccc2cc(C(N)=O)n(C(N)=O)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*CC,0.9968477,2.0000,0.9467598,0.0000,0.0017759,231.2550,0.8801242,1.2294,0.9958454,91.1100,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9935481,3.0000,0.4741191,-9.8500,0.1135424,-6.3800,1.0000000,1.0000,[],1
19.7355,19.7355,21.8024,0.3245153,COC(=O)n1c(C(N)=O)cc2ccc(-c3ccc4cc(OC)c(OC)cc4n3)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC|*c1ccc2cc(OC)c(OC)cc2n1,0.9868402,4.0000,0.9467598,0.0000,0.9999393,405.4100,0.5737348,3.5871,0.9874060,105.6700,0.9467598,4.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.8964765,7.0000,0.4245943,-9.5600,0.0306534,-8.0000,1.0000000,1.0000,[],1
14.5755,14.5755,18.2769,0.2566595,CC(C)c1cccc(NC(=O)Cc2ccc3cc(C(N)=O)n(C(N)=O)c3c2)c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*CC(=O)Nc1cccc(C(C)C)c1,0.9733457,5.0000,0.9467598,0.0000,0.9992716,378.4320,0.6769944,2.9716,0.9625247,120.2100,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.9868402,4.0000,0.6553006,-10.9300,0.0073586,-9.6800,1.0000000,1.0000,[],1
12.1177,12.1177,33.7723,0.3585154,Cc1ccc2cc(C(N)=O)n(C(=O)NC3CCOCC3)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)NC1CCOCC1|*C,0.9968477,2.0000,0.9467598,0.0000,0.5309533,301.3460,0.8311206,1.7853,0.9971132,86.3500,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9868402,4.0000,0.5362023,-10.2100,0.0368301,-7.7800,1.0000000,1.0000,[],1
7.0490,7.0490,45.9788,0.4142796,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(CCO)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*CCO,0.9935481,3.0000,0.9467598,0.0000,0.5987554,304.3460,0.8017452,2.0582,0.9945968,94.5500,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.5669463,-10.3900,0.0613088,-7.1600,1.0000000,1.0000,[],1
3.2684,3.2684,-3.2684,0.0000000,NC(=O)c1cc2ccc(N)cc2n1C(N)=O,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*N,0.0000000,1.0000,0.0000000,0.0000,0.0000000,218.2160,0.0000000,0.2492,0.0000000,117.1300,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,3.0000,0.0000000,4.0000,0.0000000,-8.7700,0.0000000,-6.1700,0.0000000,1.0000,[],1
4.1555,4.1555,-4.1555,0.0000000,Cc1ccc2cc(C(N)=O)n(C(=O)OC(C)(C)C)c2c1,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C,0.0000000,1.0000,0.0000000,0.0000,0.0000000,274.3200,0.0000000,2.8318,0.0000000,74.3200,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,1.0000,0.0000000,4.0000,0.0000000,-8.5500,0.0000000,-6.6500,0.0000000,1.0000,[],1
