SMILES,exp (nM),exp_method
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1ccccn1,0.0882,IC50
Clc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)cc1,0.0982,IC50
Cc1cccc2c1nc(CCC(=O)Nc1ccc(cc1)C(=O)Nc1cccc3cccnc13)[nH]c2=O,0.100,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1ncc(o1)-c1ccccc1,0.16,IC50
COc1ccc(cn1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2cc(F)cc2c(=O)[nH]1,0.160,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2cc(F)cc2c(=O)[nH]1,0.170,IC50
Clc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,0.179,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)CCCc1cn2c(C)ccc2c(=O)[nH]1,0.180,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2cnn(C)c2c1)c1ccc(cc1)C(O)=O,0.190,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2ccccc2c(=O)[nH]1,0.190,IC50
COc1ccc(cc1C)C(=O)C1CCN(CC1)C(=O)CCCc1nc2c(C)scc2c(=O)[nH]1,0.190,IC50
COc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.191,IC50
FC(F)(F)c1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.193,IC50
Fc1ccc(cc1Cl)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.196,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,0.200,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ccc(cc1)C(=O)Nc1cccc2cccnc12,0.200000,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2cccc(C#N)c2[nH]c1=O,0.206,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1cc2ccccc2c(=O)[nH]1,0.210,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,0.220,IC50
Clc1ccc2n([C@H]3CC[C@@H](CC3)NC(=O)CCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.227,IC50
Fc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.237,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1cc2ccccc2c(=O)[nH]1,0.240,IC50
CC(C)(CC(=O)N1CCC(CC1)C(=O)c1ccc(cc1)C(O)=O)Cc1cc2ccccc2c(=O)[nH]1,0.250,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2c(nn(C)c2c1)C(O)=O)c1ccc(OC)cc1,0.250,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2cc(C(O)=O)n(C)c2c1)c1ccc(OC)cc1,0.260,IC50
Clc1cccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCSc2nc3ccccc3c(=O)[nH]2)c1,0.264,IC50
CCN(C(=O)N1CCC(CC1)C(=O)c1ccc2ncn(C)c2c1)c1ccc(cc1)C(O)=O,0.270,IC50
Clc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCCc1nc2ccccc2c(=O)[nH]1,0.27,IC50
